Catégorie : Toutes catégories

Jour,Masque: (France),hydroalcoolique: (France),Distanciation physique: (France)
2020-08-01,19,< 1,< 1
2020-08-02,18,< 1,< 1
2020-08-03,25,< 1,< 1
2020-08-04,22,1,< 1
2020-08-05,19,< 1,< 1
2020-08-06,17,1,< 1
2020-08-07,19,1,< 1
2020-08-08,24,< 1,< 1
2020-08-09,27,< 1,< 1
2020-08-10,25,< 1,< 1
2020-08-11,19,< 1,< 1
2020-08-12,19,< 1,< 1
2020-08-13,22,< 1,< 1
2020-08-14,24,1,< 1
2020-08-15,27,< 1,< 1
2020-08-16,25,< 1,< 1
2020-08-17,24,1,< 1
2020-08-18,28,< 1,< 1
2020-08-19,28,1,< 1
2020-08-20,27,1,< 1
2020-08-21,29,1,< 1
2020-08-22,28,1,< 1
2020-08-23,27,< 1,< 1
2020-08-24,28,1,< 1
2020-08-25,27,1,< 1
